,기준 년코드,기준_분기_코드,상권_구분_코드, 상권_구분_코드_명,상권_코드,상권_코드_명,총_생활인구_수,남성_생활인구_수,여성_생활인구_수,연령대_10_생활인구_수,연령대_20_생활인구_수,연령대_30_생활인구_수,연령대_40_생활인구_수,연령대_50_생활인구_수,연령대_60_이상_생활인구_수,시간대_1_생활인구_수,시간대_2_생활인구_수,시간대_3_생활인구_수,시간대_4_생활인구_수,시간대_5_생활인구_수,시간대_6_생활인구_수,월요일_생활인구_수,화요일_생활인구_수,수요일_생활인구_수,목요일_생활인구_수,금요일_생활인구_수,토요일_생활인구_수,일요일_생활인구_수,엑스좌표_값,와이좌표_값,시군구_코드,행정동_코드,행정구_명
82,2021,1분기,R,전통시장,1001476,풍납시장,682809,312555,370254,100378,73998,98126,100506,111813,197988,186497,135051,73661,74902,116329,96369,95723,95340,95388,96256,95138,100360,104604,210562,448652,11710,11710510,송파구
83,2020,4분기,R,전통시장,1001476,풍납시장,756385,348914,407471,116255,82727,107987,110705,123029,215684,211838,151883,80391,80134,125694,106447,105157,104872,104568,105692,106449,112012,117637,210562,448652,11710,11710510,송파구
84,2021,3분기,R,전통시장,1001475,강남개포시장,44227,20348,23878,9905,4517,4586,8155,6980,10084,3755,8352,8224,9225,10777,3893,6208,6229,6404,6423,6605,6410,5947,206065,443310,11680,11680670,강남구
85,2021,2분기,R,전통시장,1001475,강남개포시장,38287,17210,21078,8544,3798,4076,6960,5917,8992,2450,6824,7599,8616,9693,3104,5396,5448,5628,5580,5673,5506,5056,206065,443310,11680,11680670,강남구
86,2021,1분기,R,전통시장,1001475,강남개포시장,40944,18694,22250,8785,4103,4527,7252,6446,9833,2853,7523,7946,9111,10249,3264,5775,5915,6079,5933,5888,5959,5397,206065,443310,11680,11680670,강남구
87,2020,4분기,R,전통시장,1001475,강남개포시장,42608,19300,23305,9256,4435,4537,7442,6708,10230,3094,7883,8243,9385,10547,3453,6035,6181,6294,6138,6183,6177,5600,206065,443310,11680,11680670,강남구
88,2021,3분기,R,전통시장,1001474,도곡시장,312082,142718,169363,104804,25923,27872,74929,40901,37652,72841,61987,36263,39432,56939,44617,44189,43753,45234,44694,44967,45255,43991,204551,444227,11680,11680650,강남구
89,2021,2분기,R,전통시장,1001474,도곡시장,282017,126999,155018,91657,23295,26795,68373,36702,35195,62456,53825,32632,37444,54421,41239,39375,40027,40473,40014,40242,41643,40242,204551,444227,11680,11680650,강남구
90,2021,1분기,R,전통시장,1001474,도곡시장,279431,126698,152733,90053,23989,26365,68285,36523,34216,59436,54188,33522,37613,54109,40562,39589,40326,40496,39708,39191,40423,39697,204551,444227,11680,11680650,강남구
91,2020,4분기,R,전통시장,1001474,도곡시장,279573,126840,152734,88366,24154,26575,69098,36449,34933,62261,54411,32711,36821,53081,40289,39344,40297,39840,39449,39999,40714,39930,204551,444227,11680,11680650,강남구
92,2021,3분기,R,전통시장,1001473,청담삼익시장,14992,7367,7625,1465,2193,3288,3087,2327,2635,3456,3391,2024,1961,2292,1870,1993,2232,2269,2362,2152,2134,1850,205099,446988,11680,11680565,강남구
93,2021,2분기,R,전통시장,1001473,청담삼익시장,34161,16649,17511,3289,5170,7982,6974,5004,5739,6805,7509,5202,5120,5679,3847,5099,5177,5040,5273,5303,4503,3767,205099,446988,11680,11680565,강남구
94,2021,1분기,R,전통시장,1001473,청담삼익시장,33075,16059,17016,3129,5003,7806,6675,4948,5514,6759,7127,5040,4940,5472,3738,4878,5064,5107,5019,4989,4370,3649,205099,446988,11680,11680565,강남구
95,2020,4분기,R,전통시장,1001473,청담삼익시장,33444,16281,17163,3064,5134,7999,6813,4948,5489,7397,7393,4887,4665,5270,3835,5027,5178,5245,5087,4926,4344,3637,205099,446988,11680,11680565,강남구
96,2021,3분기,R,전통시장,1001472,논현종합시장,34454,18028,16427,2388,6972,9499,6600,3977,5020,5897,7426,5590,5639,6275,3627,5130,5142,5263,5361,5176,4242,4141,203037,445603,11680,11680531,강남구
97,2021,2분기,R,전통시장,1001472,논현종합시장,42616,22615,20002,2581,8577,12088,8345,4948,6079,7413,9083,6790,6925,7784,4623,6493,6595,6330,6607,6417,5221,4953,203037,445603,11680,11680531,강남구
98,2021,1분기,R,전통시장,1001472,논현종합시장,37483,19655,17828,2779,7446,10327,7414,4224,5293,6541,8060,5849,5976,6970,4089,5676,5702,5697,5590,5509,4720,4589,203037,445603,11680,11680531,강남구
99,2020,4분기,R,전통시장,1001472,논현종합시장,36402,19345,17058,2314,7413,10052,7442,4140,5039,6855,7776,5437,5599,6589,4146,5519,5648,5683,5439,5301,4502,4308,203037,445603,11680,11680531,강남구
100,2021,3분기,R,전통시장,1001471,영동전통시장,365491,180732,184759,16732,81976,93065,71352,46399,55967,63313,70684,55106,56908,77734,41748,53088,54013,54568,56306,56197,49007,42311,202138,445523,11680,11680521,강남구
101,2021,2분기,R,전통시장,1001471,영동전통시장,400469,198524,201943,16433,92982,103071,77928,49501,60552,72694,76435,57713,59004,86501,48121,59774,60933,58641,61386,61843,52584,45310,202138,445523,11680,11680521,강남구
102,2021,1분기,R,전통시장,1001471,영동전통시장,383907,190082,193824,19060,88183,95298,73820,47900,59646,68428,73094,56423,58157,82922,44883,56922,59125,58884,58056,56957,49998,43966,202138,445523,11680,11680521,강남구
103,2020,4분기,R,전통시장,1001471,영동전통시장,426748,212406,214341,21155,100312,108010,78942,51361,66968,78476,80203,61568,63526,88997,53977,63613,65751,65648,62998,62907,56468,49363,202138,445523,11680,11680521,강남구
104,2021,3분기,R,전통시장,1001470,강남시장_강남,42204,20714,21489,2897,10275,10423,8032,5608,4969,5642,8163,7677,7940,9045,3735,6146,6447,6532,6693,6787,5337,4262,201829,446589,11680,11680510,강남구
105,2021,2분기,R,전통시장,1001470,강남시장_강남,39866,19075,20791,2516,10637,9985,7375,4916,4435,4997,7293,7122,7486,9230,3738,5911,6213,5960,6305,6396,5078,4001,201829,446589,11680,11680510,강남구
